mean_abs_fbme_d1_cgm,strategy,t
7.204227885021481e-13,dynamic_gen,7788
3.7544348392568457e-13,dynamic_gen,7789
3.362354572573671,dynamic_gen,7790
12.117975863775165,dynamic_gen,7791
11.590304261694692,dynamic_gen,7792
27.48573485621022,dynamic_gen,7793
30.288816425270106,dynamic_gen,7794
14.52795593994857,dynamic_gen,7795
10.49789305751956,dynamic_gen,7796
9.387317514576914,dynamic_gen,7797
12.66290663734153,dynamic_gen,7798
18.760831335373094,dynamic_gen,7799
1.579931413410882e-13,dynamic_gen,7800
1.5958782262492473e-13,dynamic_gen,7801
3.7056435252147913e-13,dynamic_gen,7802
2.505228043697656e-13,dynamic_gen,7803
3.401514383683373e-13,dynamic_gen,7804
27.380235576119183,dynamic_gen,7805
39.63423031982939,dynamic_gen,7806
52.74389388603487,dynamic_gen,7807
55.41281843548812,dynamic_gen,7808
44.307838670005815,dynamic_gen,7809
51.448376991527525,dynamic_gen,7810
43.0363807334559,dynamic_gen,7811
37.33168019958126,dynamic_gen,7812
44.27933291890569,dynamic_gen,7813
42.90833136902101,dynamic_gen,7814
53.54788927406839,dynamic_gen,7815
60.176539299611115,dynamic_gen,7816
60.63401603027902,dynamic_gen,7817
60.028542566182594,dynamic_gen,7818
49.260953363077,dynamic_gen,7819
49.95958878709606,dynamic_gen,7820
56.689029553727224,dynamic_gen,7821
21.96818179577109,dynamic_gen,7822
2.9670435799402164e-13,dynamic_gen,7823
4.5882166034400916e-12,dynamic_gen,7824
6.4794579258698704e-12,dynamic_gen,7825
5.022407760083634e-13,dynamic_gen,7826
2.921785327360452e-13,dynamic_gen,7827
0.07037995785018104,dynamic_gen,7828
1.7648048427615424e-13,dynamic_gen,7829
1.676186719950143e-13,dynamic_gen,7830
3.987903214396849e-12,dynamic_gen,7831
3.136422351508537e-12,dynamic_gen,7832
9.229081502289734,dynamic_gen,7833
77.89964463023193,dynamic_gen,7834
95.21315042122306,dynamic_gen,7835
60.4849849151578,dynamic_gen,7836
75.05490817287273,dynamic_gen,7837
101.6143548931552,dynamic_gen,7838
73.23408818354046,dynamic_gen,7839
23.5324410302118,dynamic_gen,7840
7.728844971159669,dynamic_gen,7841
13.752057725651639,dynamic_gen,7842
47.25437779600517,dynamic_gen,7843
44.27624671323005,dynamic_gen,7844
34.08671845074672,dynamic_gen,7845
42.81527665252336,dynamic_gen,7846
2.773968831100022e-13,dynamic_gen,7847
1.4793653644792076e-11,dynamic_gen,7848
4.497523560648057e-13,dynamic_gen,7849
3.831741330864262e-13,dynamic_gen,7850
4.846129760724667e-13,dynamic_gen,7851
4.451429616103344e-13,dynamic_gen,7852
8.214695816455322e-13,dynamic_gen,7853
3.8243703317224575e-13,dynamic_gen,7854
31.247253281269224,dynamic_gen,7855
